	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
143	2007	2225	9325	20099	4900	64.6	663	3649	18.2	46.4	24.4	11.1	12974	1	0	0	0	0	0	1	0	0	0	0	0	0
144	2008	380	900	2090	668	49.9	645	142	6.8	43.1	32.0	18.2	1042	1	0	0	0	0	1	1	0	0	0	0	0	0
145	2008	1299	9986	19727	3894	73.7	670	4548	23.1	50.6	19.7	6.6	14534	1	0	0	0	0	0	1	0	0	0	0	0	0
146	2009	316	1018	2265	713	54.6	652	218	9.6	44.9	31.5	14.0	1236	1	0	0	0	0	1	1	0	0	0	0	0	0
147	2009	779	10431	19163	3196	79.3	676	4757	24.8	54.4	16.7	4.1	15188	1	0	0	0	0	0	1	0	0	0	0	0	0
148	2010	670	468	2446	1115	27.0	653	193	7.9	19.1	45.6	27.4	661	1	0	0	0	0	1	1	0	0	0	0	0	0
149	2010	1854	5799	18949	6608	55.3	677	4688	24.7	30.6	34.9	9.8	10487	1	0	0	0	0	0	1	0	0	0	0	0	0
150	2011	677	610	2609	1076	32.8	658	246	9.4	23.4	41.2	25.9	856	1	0	0	0	0	1	1	0	0	0	0	0	0
151	2011	1776	6140	18693	6112	57.8	680	4665	25.0	32.8	32.7	9.5	10805	1	0	0	0	0	0	1	0	0	0	0	0	0
152	2012	593	548	2483	1062	33.3	656	280	11.3	22.1	42.8	23.9	828	1	0	0	0	0	1	1	0	0	0	0	0	0
153	2012	1578	6046	18852	5740	61.2	682	5488	29.1	32.1	30.4	8.4	11534	1	0	0	0	0	0	1	0	0	0	0	0	0
154	2006	974	509	2496	959	22.6	616	54	2.2	20.4	38.4	39.0	563	1	0	0	0	0	1	0	0	0	0	1	0	0
155	2006	3618	7968	21112	7820	45.8	643	1706	8.1	37.7	37.0	17.1	9674	1	0	0	0	0	0	0	0	0	0	1	0	0
156	2007	591	534	2151	928	29.4	629	98	4.6	24.8	43.1	27.5	632	1	0	0	0	0	1	0	0	0	0	1	0	0
157	2007	2153	9032	21477	7122	56.8	656	3170	14.8	42.1	33.2	10.0	12202	1	0	0	0	0	0	0	0	0	0	1	0	0
158	2008	346	888	2172	816	46.5	642	122	5.6	40.9	37.6	15.9	1010	1	0	0	0	0	1	0	0	0	0	1	0	0
159	2008	1036	10376	20545	5112	70.1	666	4021	19.6	50.5	24.9	5.0	14397	1	0	0	0	0	0	0	0	0	0	1	0	0
160	2009	132	1150	2200	754	59.7	655	164	7.5	52.3	34.3	6.0	1314	1	0	0	0	0	1	0	0	0	0	1	0	0
161	2009	350	11698	19903	3078	82.8	676	4777	24.0	58.8	15.5	1.8	16475	1	0	0	0	0	0	0	0	0	0	1	0	0
162	2010	703	485	2455	1051	28.6	651	216	8.8	19.8	42.8	28.6	701	1	0	0	0	0	1	0	0	0	0	1	0	0
163	2010	1937	5979	19324	6787	54.9	673	4621	23.9	30.9	35.1	10.0	10600	1	0	0	0	0	0	0	0	0	0	1	0	0
164	2011	666	534	2484	1041	31.3	655	243	9.8	21.5	41.9	26.8	777	1	0	0	0	0	1	0	0	0	0	1	0	0
165	2011	1736	5879	19136	6324	57.9	676	5197	27.2	30.7	33.0	9.1	11076	1	0	0	0	0	0	0	0	0	0	1	0	0
166	2012	644	509	2431	1015	31.8	655	263	10.8	20.9	41.8	26.5	772	1	0	0	0	0	1	0	0	0	0	1	0	0
167	2012	1696	5905	18662	5660	60.6	678	5401	28.9	31.6	30.3	9.1	11306	1	0	0	0	0	0	0	0	0	0	1	0	0
168	2006	988	531	2463	889	23.8	620	55	2.2	21.6	36.1	40.1	586	1	0	0	0	0	1	0	0	1	0	0	0	0
