year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2008	BROOKLYN	1970	9678	EP	20781	6123	61.1	660	3010	14.5	46.6	29.5	8	9.5	12688
2009	BROOKLYN	244	1148	ELL	2358	802	55.6	653	164	7	48.7	34	8	10.3	1312
2009	BROOKLYN	836	11530	EP	20472	4960	71.7	668	3146	15.4	56.3	24.2	8	4.1	14676
2010	BROOKLYN	636	583	ELL	2589	1159	30.7	659	211	8.1	22.5	44.8	8	24.6	794
2010	BROOKLYN	2443	6085	EP	20260	8160	47.7	674	3572	17.6	30	40.3	8	12.1	9657
2011	BROOKLYN	539	735	ELL	2591	1048	38.7	661	269	10.4	28.4	40.4	8	20.8	1004
2011	BROOKLYN	2017	6973	EP	19583	7086	53.5	675	3507	17.9	35.6	36.2	8	10.3	10480
2012	BROOKLYN	451	795	ELL	2513	1019	41.5	664	248	9.9	31.6	40.5	8	17.9	1043
2012	BROOKLYN	1452	7129	EP	19149	6883	56.5	678	3685	19.2	37.2	35.9	8	7.6	10814
2006	BROOKLYN	4587	5268	ELL	15672	4937	39.2	635	880	5.6	33.6	31.5	All Grades	29.3	6148
2006	BROOKLYN	17272	53747	EP	124108	33493	59.1	658	19596	15.8	43.3	27	All Grades	13.9	73343
2007	BROOKLYN	3519	6342	ELL	16075	4847	48	646	1367	8.5	39.5	30.2	All Grades	21.9	7709
2007	BROOKLYN	11456	56553	EP	121464	28829	66.8	667	24626	20.3	46.6	23.7	All Grades	9.4	81179
2008	BROOKLYN	1985	7694	ELL	15070	4032	60.1	655	1359	9	51.1	26.8	All Grades	13.2	9053
2008	BROOKLYN	6665	62282	EP	118098	22034	75.7	674	27117	23	52.7	18.7	All Grades	5.6	89399
2009	BROOKLYN	1240	8899	ELL	15825	3751	68.5	664	1935	12.2	56.2	23.7	All Grades	7.8	10834
2009	BROOKLYN	3279	64874	EP	115666	16260	83.1	681	31253	27	56.1	14.1	All Grades	2.8	96127
2010	BROOKLYN	3663	4328	ELL	17322	7645	34.7	664	1686	9.7	25	44.1	All Grades	21.1	6014
2010	BROOKLYN	10566	37463	EP	114242	39622	56.1	681	26591	23.3	32.8	34.7	All Grades	9.2	64054
2011	BROOKLYN	3614	5067	ELL	17452	7294	37.5	665	1477	8.5	29	41.8	All Grades	20.7	6544
2011	BROOKLYN	9408	41976	EP	113509	36667	59.4	682	25458	22.4	37	32.3	All Grades	8.3	67434
2012	BROOKLYN	3328	5052	ELL	16789	6664	40.5	666	1745	10.4	30.1	39.7	All Grades	19.8	6797
2012	BROOKLYN	8513	41469	EP	112282	33655	62.4	684	28645	25.5	36.9	30	All Grades	7.6	70114
2006	MANHATTAN	403	1073	ELL	2314	642	54.8	652	196	8.5	46.4	27.7	3	17.4	1269
2006	MANHATTAN	506	3810	EP	7324	1071	78.5	678	1937	26.4	52	14.6	3	6.9	5747
2007	MANHATTAN	250	1270	ELL	2283	504	67	662	259	11.3	55.6	22.1	3	11	1529
2007	MANHATTAN	309	3893	EP	7154	763	85	686	2189	30.6	54.4	10.7	3	4.3	6082
2008	MANHATTAN	95	1392	ELL	2078	370	77.6	671	221	10.6	67	17.8	3	4.6	1613
2008	MANHATTAN	162	4254	EP	6936	644	88.4	688	1876	27	61.3	9.3	3	2.3	6130
2009	MANHATTAN	53	1504	ELL	2080	276	84.2	675	247	11.9	72.3	13.3	3	2.5	1751
2009	MANHATTAN	71	4586	EP	7112	430	93	693	2025	28.5	64.5	6	3	1	6611
2010	MANHATTAN	430	489	ELL	1910	802	35.5	678	189	9.9	25.6	42	3	22.5	678
2010	MANHATTAN	653	2413	EP	7008	2022	61.8	695	1920	27.4	34.4	28.9	3	9.3	4333
2011	MANHATTAN	396	547	ELL	1811	799	34	675	69	3.8	30.2	44.1	3	21.9	616
2011	MANHATTAN	588	3167	EP	7195	2041	63.5	690	1399	19.4	44	28.4	3	8.2	4566
2012	MANHATTAN	383	508	ELL	1657	699	34.7	676	67	4	30.7	42.2	3	23.1	575
2012	MANHATTAN	580	3650	EP	7548	2033	65.4	691	1285	17	48.4	26.9	3	7.7	4935
2006	MANHATTAN	459	747	ELL	1864	530	46.9	644	128	6.9	40.1	28.4	4	24.6	875
2006	MANHATTAN	545	3865	EP	7781	1435	74.6	675	1936	24.9	49.7	18.4	4	7	5801
2007	MANHATTAN	362	836	ELL	1937	615	49.6	649	124	6.4	43.2	31.8	4	18.7	960
2007	MANHATTAN	431	3597	EP	7391	1244	77.3	680	2119	28.7	48.7	16.8	4	5.8	5716
2008	MANHATTAN	223	1003	ELL	1836	444	63.7	659	166	9	54.6	24.2	4	12.1	1169
